File Name,Collection Name#1,Work ID#1,Work Refid#1,Work Refid#2,Work Type#1,Work Type Vocab#1,Work Type Refid#1,Work Type#2,Work Type Vocab#2,Work Type Refid#2,Work Title#1,Work Title Type#1,Work Title Source#1,Work Agent Name#1,Work Agent Name Type#1,Work Agent Role#1,Work Agent Role Vocab#1,Work Agent Role Refid#1,Work Agent Name#2,Work Agent Name Type#2,Work Agent Role#2,Work Agent Role Vocab#2,Work Agent Role Refid#2,Work Date#1,Earliest Date#1,Latest Date#1,Work Date Type#1,Creation Date#1,Discovery Date#1,Work Date#2,Earliest Date#2,Latest Date#2,Work Date Type#2,Creation Date#2,Discovery Date#2,Subject Term#1,Subject Type#1,Subject Vocab#1,Subject Refid#1,Location Name#1,Location Type#1,Location Refid#1,Location Refid Type#1,Repository Location Name#1,Material#1,Material Type#1,Material Vocab#1,Material Refid#1,Material#2,Material Type#2,Material Vocab#2,Material Refid#2,Material#3,Material Type#3,Material Vocab#3,Material Refid#3,Technique#1,Technique Vocab#1,Technique Refid#1,Style Period#1,Cultural Context#1,Cultural Context Vocab#1,Cultural Context Refid#1,Work Description#1,Relation#1,Relation Type#1,Relation Relids#1,Relation href#1,Image Rights,Image Source Name#1,Image Agent Name#1,Image Agent Name Type#1,Image Agent Role#1,Image Work Type#1,Earliest Era Or Lowest Erathem#1,Latest Era Or Highest Erathem#1,Earliest Period Or Lowest System#1,Latest Period Or Highest System#1,Earliest Epoch Or Lowest Series#1,Latest Epoch Or Highest Series#1,Earliest Age Or Lowest Stage#1,Latest Age Or Highest Stage#1,Lithostratigraphic Terms#1,Lithostratigraphic Terms#2,Age#2,Lithostratigraphic Terms#3,Age#3,Scientific Name#1,Accepted Usage Name#1,Higher Classification#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
musm_natHist_p_17757,The 3D Natural History Digital Collection,17757,842,,,,,,,,,,,"Sternberg, GF",personal,collectors,aat,300025234,,,,,,1931,,,discovery,,1931,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Converse/Platte county, WY",discovery,77293,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,skull and mandible,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,Orellan,Orellan,White River group,Brule formation,,,Brule Fm. Oligocene 30-34 mya,Poebrotherium,Pre-camel,Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Poebrotherium,1094225,,musm_natHist_p_17757.jpg|musm_natHist_p_17757.jpg
musm_natHist_p_102986,The 3D Natural History Digital Collection,102986,627,,,,,,,,,,,"Robinette, Leslie W.",personal,collectors,aat,300025234,,,,,,unknown/1980,,,discovery,,unknown/1980,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Converse/Platte county, WY",discovery,77293,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,skull and mandible,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,Orellan,Orellan,White River group,Brule formation,,,Brule Fm. Oligocene 30-34 mya,Hypisodus,Small deer-like herbivore,Animalia;Chordata;Mammalia;Artiodactyla;Hypertragulidae;Hypisodus,1094240,,
musm_natHist_p_17754,The 3D Natural History Digital Collection,17754,842,,,,,,,,,,,"Sternberg, GF",personal,collectors,aat,300025234,,,,,,1931,,,discovery,,1931,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Converse/Platte county, WY",discovery,77293,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,skull and mandible,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,Orellan,Orellan,White River group,Brule formation,,,Brule Fm. Oligocene 30-34 mya,Merycoidodon gracile,Sheep-like herbivore,Animalia;Chordata;Mammalia;Artiodactyla;Oreodontidae;Merycoidodon,1094210,,
musm_natHist_p_54222,The 3D Natural History Digital Collection,54222,53,,,,,,,,,,,"Kron, Donald",personal,collectors,aat,300025234,,,,,,1981,,,discovery,,1981,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Converse county, WY",discovery,81051,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,"maxilla and partial dentary, right",,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,Chadronian,Chadronian,White River group,Chadron formation,,,Chadron Fm. Eocene 34 -38 mya,Miohippus obliquidens cf.,Early horse,Animalia;Chordata;Mammalia;Perissodactyla;Equidae;Miohippus,1094413,,musm_natHist_p_054222_bottom.jpg|musm_natHist_p_054222_bottom.jpg
musm_natHist_p_108633,The 3D Natural History Digital Collection,108633,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,Morocco,discovery,2013063,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,tooth,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Albian,Cenomanian,,,Cretaceous 144-64.5 mya,,,Spinosaurus maroccanus,"Bipedal, lizard-hipped, carnivorous dinosaur",Animalia;Chordata;Reptilia;Saurischia;Spinosauridae;Spinosaurus,1094457,,musm_natHist_p_108633.jpg|musm_natHist_p_108633.jpg
musm_natHist_p_98222,The 3D Natural History Digital Collection,98222,388,,,,,,,,,,,"Koerner, Harold",personal,collectors,aat,300025234,"Stauber, D",personal,collectors,aat,300025234,unknown/1972,,,discovery,,unknown/1972,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Logan county, KS",discovery,72273,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,"dentary, right",,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Coniacian,Santonian,Niobrara formation,Smoky Hill member,,,Cretaceous 144-64.5 mya,Clidastes,Large marine reptile,Animalia;Chordata;Reptilia;Squamata;Mosasauridae;Clidastes,1094497,,musm_natHist_p_98222.jpg|musm_natHist_p_98222.jpg
musm_natHist_p_98113,The 3D Natural History Digital Collection,98113,,,trackways,aat,300379470,,,,,,,,,,,,,,,,,1986,,,discovery,,1986,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Kane county, UT",discovery,86206,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,Fossil track of a theropod,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Cenomanian,Cenomanian,Dakota group,,Dakota Gp. Cretaceous 94-99 mya,,,Theropoda,"Bipedal, lizard-hipped, carnivorous dinosaur",Animalia;Chordata;Tetrapoda;Sauropsida;Archosauromorpha;Dinosauria;Saurischia;Theropoda,1094063,,musm_natHist_p_98113.jpg|musm_natHist_p_98113.jpg
musm_natHist_p_98154,The 3D Natural History Digital Collection,98154,,,trackways,aat,300379470,,,,,,,,,,,,,,,,,1930,,,discovery,,1930,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,Colorado,discovery,76025,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,Fossil track of Ignotornis mcconnelli,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Cenomanian,Cenomanian,Dakota group,,Dakota Gp. Cretaceous 94-99 mya,,,Ignotornis mcconnelli,Bird,Animalia;Chordata;Tetrapoda;Aves;Ignotornis,1094077,,
musm_natHist_p_20938,The 3D Natural History Digital Collection,209.38,Army Corps of Engineers,,trackways,aat,300379470,,,,,,,"Lockley, Martin",personal,collectors,aat,300025234,,,,,,2005,,,discovery,,2005,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Bent county, CO",discovery,2012514,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,Fossil track of an archosaur,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/",,"Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Cenomanian,Cenomanian,Dakota group,,Dakota Gp. Cretaceous 94-99 mya,,,Crocodylomorpha,Crocodile,Animalia;Chordata;Tetrapoda;Sauropsida;Archosauromorpha;Crocodylomorpha,1094106,,
musm_natHist_p_20946,The 3D Natural History Digital Collection,209.46,Army Corps of Engineers,,trackways,aat,300379470,,,,,,,"Lockley, Martin",personal,collectors,aat,300025234,,,,,,2005,,,discovery,,2005,,,,,,,Paleontology  ,descriptiveTopic,lcsh,sh 85097123,"Bent county, CO",discovery,2012515,other (locality number),University of Colorado Boulder Museum of Natural History,,,,,,,,,,,,,,,,,,,,Fossil track of an ornithopod,,,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. http://rightsstatements.org/vocab/UND/1.0/","From the Collections of the U.S. Army Corps of Engineers, John Martin Reservoir, Albuquerque District","Mulcrone, Patrick",personal,scanning technician,digital image,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Cenomanian,Cenomanian,Dakota group,,Dakota Gp. Cretaceous 94-99 mya,,,Ornithopoda,"Bird-hipped, herbivorous dinosaur",Animalia;Chordata;Tetrapoda;Sauropsida;Archosauromorpha;Dinosauria;Ornithischia;Cerapoda;Ornithopoda,1094091,,musm_natHist_p_209_46.jpg|musm_natHist_p_209_46.jpg
